Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Malik Beasley,28,DET,SG,28,8,803,14.6,.583,.690,.112,2.2,9.5,5.9,11.1,1.2,0.2,7.1,22.5,1.0,0.4,1.5,.090,2.0,-1.6,0.4,0.5,,28.7,5.8,13.4,.430,3.8,9.2,.411,4.1,.474,.572,1.1,.714,0.6,2.5,3.1,0.7,0.1,1.1,1.3,16.4
Damian Lillard,34,MIL,PG,22,22,800,22.3,.622,.530,.401,1.7,11.5,6.8,32.8,1.4,0.5,12.7,28.8,2.5,0.6,3.0,.182,5.0,-1.1,3.8,1.2,,36.4,7.9,17.6,.450,3.5,9.3,.371,4.5,8.3,.538,.548,6.5,7.0,.916,4.0,4.5,7.5,1.0,0.2,1.9,25.7
Zach LaVine,29,CHI,SF,24,24,800,17.2,.639,.484,.234,0.7,13.2,7.0,19.0,1.2,0.6,14.0,25.4,1.1,0.3,1.4,.085,2.2,-1.5,0.7,0.5,,33.3,8.0,15.8,.505,3.3,7.7,.435,4.7,8.2,.571,.611,3.0,3.7,.809,0.2,4.3,4.5,4.2,0.8,2.8,1.8,22.3
Julian Champagnie,23,SAS,SF,27,26,797,12.7,.583,.719,.146,3.1,15.5,9.3,7.3,1.5,1.8,8.8,17.1,0.7,0.7,1.3,.080,-0.3,-0.8,-1.1,0.2,,29.5,4.3,10.1,.427,2.6,.355,1.7,2.9,.610,.555,.900,0.9,4.3,5.1,0.9,0.6,1.0,1.6,12.6
Luguentz Dort,25,OKC,SF,27,27,795,12.5,.575,.670,.158,5.4,11.2,8.3,7.5,2.1,2.8,6.3,13.6,1.1,1.5,2.6,.158,-0.6,1.4,0.8,0.6,,29.4,3.4,8.2,.416,2.2,5.5,.405,1.2,2.7,.438,.552,1.0,1.3,.800,3.1,4.6,1.7,1.3,3.2,10.1
Dennis Schr̦der,31,2TM,PG,24,24,794,15.6,.574,.457,.246,0.6,10.1,5.2,32.4,1.6,0.5,14.4,24.4,1.0,0.3,1.3,.079,0.8,-1.5,-0.6,0.3,,GSW,1,1,22.0,2.0,12.0,.167,0.0,4.0,.000,2.0,8.0,.250,.167,2.0,.500,0.0,2.0,2.0,5.0,0.0,0.0,4.0,2.0,5.0
Dennis Schr̦der,31,BRK,PG,23,23,772,16.4,.588,.462,.249,0.6,10.1,5.3,32.5,1.7,0.5,14.1,24.2,1.2,0.3,1.5,.094,1.3,-1.3,0.0,0.4,,GSW,1,1,22.0,2.0,12.0,.167,4.0,.000,2.0,8.0,.250,.167,1.0,2.0,.500,2.0,2.0,5.0,4.0,2.0,5.0
Dennis Schr̦der,31,GSW,PG,1,1,22,-11.8,.194,.333,.167,0.0,9.6,4.7,29.5,0.0,0.0,23.7,31.9,-0.2,0.0,-0.2,-0.457,-15.0,-8.6,-23.6,-0.1,,22.0,2.0,12.0,4.0,.000,2.0,8.0,.250,1.0,2.0,.500,2.0,2.0,5.0,4.0,2.0,5.0
Keyonte George,21,UTA,PG,25,25,791,11.8,.534,.569,.242,1.7,10.0,5.9,28.3,1.1,0.6,17.9,24.6,0.1,-0.2,-0.1,-0.007,-0.7,-3.2,-4.0,-0.4,,31.6,5.4,13.7,.394,2.7,7.8,.349,2.7,.453,.493,2.7,3.3,.807,0.5,2.9,3.4,5.7,0.7,0.2,3.3,1.8,16.2
Evan Mobley,23,CLE,PF,26,26,786,22.2,.642,.180,.332,8.2,23.7,16.2,12.8,1.6,4.3,13.2,23.3,1.9,1.4,3.3,.201,2.1,1.2,3.3,1.1,,30.2,7.0,12.4,.565,0.9,2.2,.397,6.1,10.2,.602,.601,4.1,.813,2.2,6.7,8.8,2.7,1.0,2.2,18.2
