Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
Precious Achiuwa,25,NYK,PF,6,1,120,14.3,.525,.143,.357,10.0,27.3,19.1,8.5,2.1,4.0,13.4,13.7,0.1,0.2,0.3,.113,-2.2,0.5,-1.7,0.0,
Jaylon Tyson,22,CLE,SG,15,1,117,6.9,.490,.429,.214,9.7,12.9,11.3,11.4,1.6,0.0,22.7,14.6,0.0,0.1,0.1,.038,-5.7,-1.0,-6.7,-0.1,
Enrique Freeman,24,IND,PF,16,1,113,5.2,.523,.263,.474,3.1,9.0,6.1,6.7,0.8,1.6,14.8,10.4,0.0,0.0,0.0,.010,-5.5,-1.7,-7.2,-0.1,
Tyler Kolek,23,NYK,PG,17,0,112,12.1,.578,.605,.105,2.2,9.7,6.1,13.0,2.7,0.9,15.0,18.4,0.1,0.1,0.2,.072,-2.1,0.2,-2.0,0.0,
Micah Potter,26,UTA,C,6,1,112,9.7,.550,.800,.000,11.2,25.5,18.4,6.1,0.4,2.5,20.0,9.4,0.1,0.0,0.1,.035,-1.9,-1.4,-3.3,0.0,
Khris Middleton,33,MIL,SF,5,0,104,12.8,.452,.359,.436,1.1,14.3,7.9,34.1,2.8,1.8,14.7,23.1,0.0,0.1,0.1,.049,-2.2,1.3,-1.0,0.0,
Colby Jones,22,SAC,SG,18,0,102,7.1,.455,.409,.000,6.7,13.1,10.0,4.9,2.4,4.9,21.4,11.8,-0.1,0.1,0.0,.010,-4.8,0.5,-4.3,-0.1,
Caleb Houstan,22,ORL,SF,18,0,99,4.0,.446,.846,.077,2.3,8.6,5.3,1.4,0.0,2.0,3.6,12.2,0.0,0.1,0.1,.025,-4.8,-1.3,-6.1,-0.1,
Ariel Hukporti,22,NYK,C,12,0,99,7.1,.628,.000,.571,4.9,19.8,12.7,7.5,0.0,7.7,36.3,12.3,-0.1,0.1,0.0,.009,-6.7,1.2,-5.5,-0.1,
Josh Minott,22,MIN,SF,13,0,95,16.1,.662,.429,.179,3.6,15.0,9.5,10.0,3.1,3.9,14.2,16.2,0.1,0.2,0.3,.157,-1.8,3.8,2.0,0.1,
Isaiah Wong,24,CHO,SG,6,0,93,15.3,.548,.286,.514,9.0,11.1,10.0,24.1,1.6,0.0,15.7,23.2,0.1,0.0,0.1,.077,-0.2,-1.3,-1.6,0.0,
Day'Ron Sharpe,23,BRK,C,6,0,91,18.6,.559,.257,.457,15.4,21.5,18.4,8.7,3.8,2.2,16.0,24.4,0.1,0.1,0.2,.109,-1.8,-0.2,-2.0,0.0,
DaQuan Jeffries,27,CHO,SG,4,0,91,18.7,.753,.483,.069,4.6,15.1,9.6,7.3,1.1,2.2,6.3,14.8,0.3,0.1,0.3,.174,3.8,-0.1,3.7,0.1,
Adem Bona,21,PHI,C,14,0,90,9.0,.671,.000,.462,9.7,21.9,15.4,0.0,0.0,6.9,27.7,10.5,0.0,0.1,0.1,.066,-6.2,-0.6,-6.8,-0.1,
Jae Crowder,34,SAC,SF,6,2,89,7.0,.509,.706,.353,7.7,13.7,10.8,5.5,1.6,0.0,16.9,11.4,0.0,0.1,0.1,.044,-3.7,-0.6,-4.4,-0.1,
Tristan Thompson,33,CLE,PF,11,0,85,9.3,.449,.037,.444,9.4,29.1,19.5,6.1,0.0,4.3,13.4,18.9,-0.1,0.1,0.0,.011,-6.6,-1.8,-8.3,-0.1,
Mark Williams,23,CHO,C,6,3,84,32.6,.664,.000,.359,17.5,25.9,21.5,21.5,1.2,7.3,6.2,24.3,0.4,0.1,0.5,.305,7.4,1.3,8.6,0.2,
Ryan Rollins,22,MIL,PG,12,1,84,18.5,.577,.438,.188,4.1,10.1,7.2,19.2,5.8,4.4,16.8,21.9,0.0,0.2,0.2,.128,0.4,5.6,6.0,0.2,
Isaiah Jackson,23,IND,C,5,1,84,18.6,.600,.000,.609,15.3,23.0,19.2,8.4,1.7,8.8,14.6,17.7,0.1,0.1,0.3,.143,-1.1,1.3,0.2,0.0,
Duop Reath,28,POR,C,13,0,83,8.8,.519,.731,.000,7.5,9.6,8.5,5.2,0.0,2.3,3.7,13.5,0.1,0.0,0.1,.046,-1.4,-2.8,-4.1,0.0,
Cam Whitmore,20,HOU,SF,9,0,82,10.7,.447,.420,.320,5.0,10.3,7.7,8.0,0.6,1.1,5.0,30.2,-0.1,0.1,0.0,.015,-4.0,-2.0,-6.1,-0.1,
Pacome Dadiet,19,NYK,SG,12,0,82,6.5,.455,.700,.100,0.0,17.3,9.1,7.4,0.6,2.3,4.6,11.8,0.0,0.1,0.1,.033,-3.9,-1.1,-5.0,-0.1,
Svi Mykhailiuk,27,UTA,SF,6,2,81,6.9,.522,.815,.148,1.4,12.2,6.9,14.4,3.0,1.2,25.8,20.1,-0.2,0.0,-0.1,-0.071,-5.3,-0.8,-6.1,-0.1,
Drew Peterson,25,BOS,PF,7,0,81,9.1,.553,.867,.467,5.3,16.2,10.7,6.2,1.2,2.2,14.2,11.2,0.1,0.1,0.2,.096,-2.8,1.1,-1.7,0.0,
Jeff Dowtin,27,PHI,PG,8,0,80,7.0,.385,.421,.211,2.7,9.2,5.8,15.9,1.9,0.0,4.6,11.9,0.0,0.1,0.0,.025,-5.4,1.0,-4.5,-0.1,
Zeke Nnaji,24,DEN,PF,16,0,79,4.7,.417,.348,.217,2.9,6.7,4.8,6.4,0.6,2.3,7.4,14.5,-0.1,0.0,-0.1,-0.041,-5.9,-2.1,-8.1,-0.1,
Taylor Hendricks,21,UTA,PF,3,3,75,7.3,.354,.667,.222,7.6,14.6,11.2,3.5,3.2,5.0,9.2,12.2,-0.1,0.1,0.0,-0.012,-4.5,1.1,-3.4,0.0,
Kelly Olynyk,33,TOR,C,5,0,72,15.1,.498,.321,.500,7.5,24.6,15.9,19.1,4.7,1.3,17.0,23.8,0.0,0.1,0.1,.074,-2.8,3.1,0.3,0.0,
Kel'el Ware,20,MIA,C,10,0,69,9.7,.464,.280,.080,3.2,22.1,12.6,2.1,2.1,7.0,13.4,18.9,-0.1,0.1,0.0,-0.001,-5.8,0.3,-5.5,-0.1,
Immanuel Quickley,25,TOR,PG,3,3,68,14.5,.500,.381,.214,1.6,8.1,4.8,28.0,1.4,0.0,8.0,30.5,0.0,0.0,0.1,.049,1.1,-2.2,-1.2,0.0,
Torrey Craig,34,CHI,SF,6,1,67,14.7,.677,.818,.091,4.8,15.5,10.2,6.1,0.7,1.3,0.0,14.2,0.2,0.0,0.2,.150,1.9,-1.0,0.8,0.0,
Cory Joseph,33,ORL,PG,15,0,63,12.4,.472,.778,.000,5.3,15.4,10.2,24.8,2.4,3.1,14.3,14.4,0.0,0.1,0.1,.113,-0.7,3.1,2.4,0.1,
Jae'Sean Tate,29,HOU,SF,11,0,61,15.1,.573,.176,.529,6.8,31.3,18.9,16.3,4.0,0.0,22.3,18.3,0.0,0.2,0.2,.143,-4.4,4.3,-0.1,0.0,
Armel TraorÃ©,22,LAL,SF,8,0,61,2.8,.285,.389,.389,1.8,23.9,12.9,2.2,3.2,3.0,8.7,16.5,-0.2,0.1,-0.1,-0.115,-10.2,-0.7,-10.9,-0.1,
Patrick Baldwin Jr.,22,WAS,SF,12,0,57,13.9,.602,.579,.211,5.4,16.5,11.0,2.6,1.6,3.2,8.8,16.5,0.0,0.0,0.1,.057,0.1,-1.6,-1.5,0.0,
Cam Spencer,24,MEM,SG,4,0,54,13.2,.711,.462,.308,2.0,11.2,6.8,16.0,0.8,1.7,16.9,13.1,0.1,0.1,0.2,.163,-1.2,0.4,-0.8,0.0,
Jevon Carter,29,CHI,PG,11,0,53,5.8,.391,.696,.000,2.0,13.7,7.9,14.8,2.6,0.0,14.8,21.2,-0.2,0.0,-0.1,-0.104,-5.3,-1.5,-6.8,-0.1,
Chris Duarte,27,CHI,SG,12,0,50,19.0,.674,.667,.444,8.6,20.8,14.7,11.1,0.0,0.0,4.4,18.8,0.2,0.0,0.2,.193,3.7,-1.6,2.1,0.1,
MarJon Beauchamp,24,MIL,SF,12,0,47,7.2,.574,.450,.300,4.9,24.8,15.2,6.5,1.0,0.0,30.6,30.7,-0.2,0.0,-0.1,-0.140,-6.3,-2.7,-9.1,-0.1,
Kobe Brown,25,LAC,PF,7,0,47,15.7,.479,.300,.100,11.9,26.6,19.2,13.2,1.0,0.0,0.0,19.2,0.1,0.1,0.1,.139,0.6,-0.5,0.1,0.0,
Luka Garza,26,MIN,C,9,0,46,20.8,.614,.320,.320,10.0,16.7,13.4,4.3,1.1,0.0,9.5,30.0,0.1,0.1,0.1,.119,-0.3,-1.8,-2.1,0.0,
Moses Brown,25,IND,C,9,0,46,16.5,.653,.000,.250,10.2,22.2,16.3,0.0,2.1,2.0,21.3,26.6,0.0,0.0,0.0,.012,-4.0,-2.1,-6.0,0.0,
Orlando Robinson,24,SAC,C,7,0,46,14.2,.546,.333,.500,7.5,21.7,14.7,20.2,2.1,2.2,17.0,16.5,0.0,0.1,0.1,.107,-3.2,1.0,-2.2,0.0,
Vince Williams Jr.,24,MEM,SG,3,0,45,3.7,.385,.421,.211,9.7,15.6,12.8,25.4,0.0,4.1,25.2,24.6,-0.2,0.1,-0.1,-0.099,-7.2,-0.1,-7.3,-0.1,
Matt Ryan,27,NYK,SF,9,0,45,-1.5,.357,.667,.000,0.0,4.8,2.5,0.0,1.1,0.0,12.5,23.5,-0.2,0.0,-0.2,-0.216,-9.2,-5.0,-14.2,-0.1,
Pat Spencer,28,GSW,PG,9,0,45,14.6,.415,.188,.125,8.9,7.1,8.0,36.6,5.3,0.0,19.2,19.3,0.0,0.1,0.1,.081,-2.3,4.6,2.3,0.0,
Terrence Shannon Jr. ,24,MIN,SG,9,0,44,9.3,.542,.250,.000,0.0,5.0,2.6,16.8,2.2,2.1,20.0,14.9,0.0,0.1,0.0,.040,-4.5,1.1,-3.4,0.0,
Trey Alexander,21,DEN,SG,9,0,44,0.4,.349,.500,.167,0.0,2.4,1.2,5.4,0.0,2.0,7.2,13.2,-0.1,0.0,-0.1,-0.085,-7.4,-2.9,-10.4,-0.1,
Luke Travers,23,CLE,SG,6,0,42,8.0,.508,.429,.286,2.7,12.8,7.9,13.9,1.1,2.2,20.2,10.1,0.0,0.0,0.1,.070,-5.3,-0.4,-5.8,0.0,
Yuki Kawamura,23,MEM,PG,14,0,41,3.3,.397,.733,.400,0.0,4.9,2.5,23.1,1.1,0.0,18.5,21.1,-0.1,0.0,0.0,-0.053,-8.0,-2.8,-10.8,-0.1,
Jalen Pickett,25,DEN,SG,5,0,41,9.9,.800,.800,.000,2.8,10.3,6.7,23.1,1.2,0.0,28.6,7.2,0.1,0.0,0.1,.115,-1.8,0.1,-1.7,0.0,
Jeff Green,38,HOU,PF,7,0,40,12.0,.654,.615,.000,0.0,10.6,5.2,3.7,2.4,0.0,13.3,15.5,0.0,0.1,0.1,.114,-1.2,1.3,0.1,0.0,
Adam Flagler,25,OKC,SG,11,0,40,4.8,.375,.950,.000,5.3,10.5,7.9,0.0,2.4,0.0,0.0,21.4,-0.1,0.1,0.0,-0.014,-6.5,-2.0,-8.5,-0.1,
Jaden Springer,22,BOS,SG,9,0,39,7.1,.277,.300,.600,11.1,19.6,15.3,9.6,3.8,0.0,7.3,15.1,-0.1,0.1,0.0,.008,-7.7,1.4,-6.4,0.0,
Karlo MatkoviÄ,23,NOP,PF,5,0,39,8.0,.400,.000,.000,15.8,11.8,13.9,0.0,3.8,7.2,44.4,9.7,-0.1,0.0,0.0,-0.046,-7.9,-1.0,-9.0,-0.1,
Bol Bol,25,PHO,PF,7,0,37,18.9,.652,.333,.400,12.2,20.7,16.5,4.6,0.0,0.0,14.5,24.6,0.1,0.0,0.1,.085,2.2,-3.7,-1.6,0.0,
Damion Lee,32,PHO,SG,4,0,37,9.4,.451,.643,.429,0.0,14.8,7.5,18.7,2.7,0.0,15.3,23.4,-0.1,0.0,0.0,-0.036,-4.7,0.6,-4.2,0.0,
Garrett Temple,38,TOR,SG,9,0,35,7.7,.357,.429,.000,3.1,9.5,6.2,17.7,5.5,2.8,22.2,10.7,0.0,0.1,0.0,.023,-5.9,5.0,-1.0,0.0,
Tyler Smith,20,MIL,PF,10,0,34,18.3,.720,.615,.154,3.4,21.8,12.9,4.8,0.0,8.2,17.8,21.9,0.0,0.0,0.1,.097,1.3,1.3,2.6,0.0,
Vlatko ÄanÄar,27,DEN,PF,4,0,34,7.7,.643,.286,.000,10.0,15.5,12.8,0.0,0.0,2.6,22.2,11.1,0.0,0.0,0.0,.032,-5.1,-2.0,-7.1,0.0,
Baylor Scheierman,24,BOS,SG,5,0,34,0.5,.184,.600,.200,6.3,16.1,11.2,7.1,1.4,0.0,0.0,13.8,-0.1,0.0,-0.1,-0.082,-9.8,-1.0,-10.8,-0.1,
Sidy Cissoko,20,SAS,SF,11,0,33,10.4,.511,.444,.444,6.6,19.5,13.1,21.3,0.0,0.0,8.5,15.2,0.0,0.0,0.0,.064,-0.1,-0.9,-1.1,0.0,
PJ Dozier,28,MIN,SG,8,0,33,10.3,.621,1.000,2.000,3.5,13.3,8.5,20.2,1.5,0.0,15.1,8.8,0.0,0.0,0.1,.126,-2.3,2.8,0.6,0.0,
D.J. Carton,24,TOR,SG,4,0,33,-2.6,.202,.429,.143,0.0,13.4,6.6,10.9,2.9,0.0,35.0,14.4,-0.2,0.0,-0.1,-0.209,-9.8,-1.3,-11.1,-0.1,
E.J. Liddell,24,CHI,PF,6,0,31,15.5,.845,.750,.250,3.4,13.4,8.5,13.1,1.5,2.8,18.4,14.6,0.1,0.0,0.1,.171,0.2,0.6,0.8,0.0,
Gui Santos,22,GSW,PF,7,0,30,5.6,.510,.600,.400,6.7,17.7,12.0,8.4,0.0,3.2,25.4,10.9,0.0,0.0,0.0,.026,-6.7,-1.2,-7.9,0.0,
Liam Robbins,25,MIL,C,6,0,29,7.0,.434,.250,1.000,11.8,7.3,9.5,4.4,1.7,3.2,14.8,10.3,0.0,0.0,0.0,.033,-5.4,-0.9,-6.3,0.0,
Maxwell Lewis,22,LAL,SF,7,0,29,2.3,.333,.000,.000,7.7,0.0,3.9,9.0,1.7,0.0,25.0,12.0,-0.1,0.0,-0.1,-0.094,-6.6,-3.4,-10.0,-0.1,
TyTy Washington Jr.,23,PHO,PG,3,0,27,14.1,.667,.500,.000,0.0,4.0,2.1,20.5,3.6,0.0,14.3,11.5,0.0,0.0,0.1,.116,0.1,1.9,1.9,0.0,
Dariq Whitehead,20,BRK,SF,3,0,26,21.7,.818,.909,.000,0.0,14.1,6.9,6.8,3.8,3.9,21.4,23.9,0.0,0.0,0.0,.077,5.9,1.7,7.6,0.1,
Joe Ingles,37,MIN,SF,7,0,26,5.6,.000,1.000,.000,8.8,0.0,4.3,42.6,0.0,0.0,33.3,5.1,0.0,0.0,0.0,.091,-3.2,1.3,-1.9,0.0,
Jazian Gortman,21,DAL,PG,8,0,25,10.3,.547,.364,.182,4.5,4.1,4.3,11.4,0.0,3.6,14.4,23.5,0.0,0.0,0.0,.009,-1.2,-1.9,-3.1,0.0,
Stanley Umude,25,MIL,SG,7,0,25,7.6,.307,.750,.500,0.0,25.4,13.2,9.9,1.9,3.7,0.0,8.6,0.0,0.0,0.0,.023,-3.4,2.1,-1.4,0.0,
JD Davison,22,BOS,PG,5,0,24,-4.5,.510,.600,.400,0.0,9.1,4.5,5.4,2.0,0.0,50.5,21.3,-0.2,0.0,-0.1,-0.273,-12.2,-2.4,-14.6,-0.1,
Colin Castleton,24,MEM,C,8,0,22,17.4,.665,.500,2.000,9.9,22.8,16.6,0.0,0.0,4.2,0.0,13.7,0.1,0.0,0.1,.289,-1.7,-0.6,-2.3,0.0,
JT Thor,22,CLE,PF,4,0,21,45.3,1.081,.375,.750,5.4,10.2,7.9,0.0,4.6,13.2,15.8,26.0,0.1,0.1,0.2,.459,12.2,7.7,19.8,0.1,
Jack McVeigh,28,HOU,PF,6,0,21,4.4,.364,.727,.000,4.9,15.2,10.0,6.7,0.0,4.2,8.3,23.6,-0.1,0.0,0.0,-0.059,-5.2,-2.5,-7.7,0.0,
Adama Sanogo,22,CHI,C,4,0,21,15.3,.571,.000,.000,25.5,4.9,15.0,6.7,0.0,0.0,12.5,15.9,0.0,0.0,0.0,.104,1.0,-3.6,-2.6,0.0,
Brandon Williams,25,DAL,PG,5,0,21,-2.2,.291,.222,.333,5.3,14.8,10.3,11.8,0.0,0.0,16.2,24.8,-0.1,0.0,-0.1,-0.221,-11.4,-3.6,-15.0,-0.1,
Markieff Morris,35,DAL,PF,4,0,21,-0.5,.278,.333,.000,0.0,24.7,12.8,11.8,0.0,4.3,18.2,22.2,-0.1,0.0,-0.1,-0.207,-8.7,-2.1,-10.8,0.0,
Malevy Leons,25,OKC,SF,6,0,21,-2.3,.266,.500,2.000,5.1,10.0,7.5,5.4,0.0,0.0,21.0,9.7,0.0,0.0,0.0,-0.043,-10.7,-1.9,-12.6,-0.1,
Jacob Toppin,24,NYK,SF,7,0,21,2.2,.333,.667,.000,0.0,15.6,8.2,11.2,0.0,0.0,25.0,8.4,0.0,0.0,0.0,-0.050,-5.7,-1.6,-7.3,0.0,
Richaun Holmes,31,WAS,PF,3,0,20,16.0,.551,.100,.200,10.4,15.7,13.0,0.0,0.0,9.1,15.5,26.7,0.0,0.0,0.0,-0.029,-1.5,-1.1,-2.6,0.0,
Taze Moore,26,POR,SG,2,0,20,7.2,.276,.400,.200,20.9,22.8,21.8,6.9,4.8,0.0,15.5,26.7,-0.1,0.0,-0.1,-0.173,-3.4,-1.1,-4.6,0.0,
Max Strus,28,CLE,SF,1,0,19,10.2,.563,1.000,.000,0.0,0.0,0.0,13.6,0.0,0.0,0.0,18.2,0.0,0.0,0.0,.102,-0.2,-1.5,-1.7,0.0,
Cam Christie,19,LAC,SG,1,0,18,6.5,.357,.571,.000,6.2,12.6,9.4,0.0,5.4,0.0,12.5,19.2,-0.1,0.0,0.0,-0.054,-3.8,3.6,-0.2,0.0,
Branden Carlson,25,OKC,C,5,0,18,13.0,.254,.714,.286,17.7,29.1,23.5,13.3,2.7,5.7,0.0,18.7,0.0,0.1,0.0,.075,-5.2,-1.3,-6.5,0.0,
Bronny James,20,LAL,SG,7,0,18,2.5,.225,.500,.250,6.2,0.0,3.1,14.2,2.7,5.1,0.0,21.5,-0.1,0.0,-0.1,-0.153,-8.6,-1.7,-10.3,0.0,
Lester QuiÃ±ones,24,PHI,SG,4,0,17,8.7,.533,.375,.125,19.3,7.2,13.6,10.7,0.0,0.0,32.2,32.1,-0.1,0.0,-0.1,-0.182,-3.7,-6.8,-10.4,0.0,
Oscar Tshiebwe,25,UTA,PF,1,0,16,18.1,.852,,,21.3,41.1,31.4,0.0,6.0,0.0,36.2,7.3,0.0,0.0,0.1,.200,-3.6,2.7,-0.9,0.0,
Trentyn Flowers,19,LAC,SF,1,0,14,9.1,.477,.222,.111,8.0,24.3,16.1,0.0,0.0,0.0,9.6,32.2,0.0,0.0,0.0,-0.052,-4.7,-0.8,-5.5,0.0,
Jalen Hood-Schifino,21,LAL,SG,2,0,14,11.6,1.064,.000,2.000,8.0,0.0,4.0,9.3,0.0,6.5,34.7,9.0,0.0,0.0,0.0,.145,-4.0,1.1,-3.0,0.0,
Daishen Nix,22,MIN,PG,3,0,13,-7.0,.266,1.000,2.000,0.0,33.8,17.3,28.4,0.0,0.0,68.0,19.8,-0.1,0.0,-0.1,-0.316,-15.5,-1.2,-16.8,0.0,
Kessler Edwards,24,DAL,SF,7,0,13,-13.7,.000,1.000,.000,0.0,8.0,4.1,0.0,0.0,0.0,25.0,13.0,-0.1,0.0,-0.1,-0.321,-16.6,-5.4,-22.0,-0.1,
Mason Jones,26,SAC,SG,3,0,13,14.9,.000,1.000,.000,8.8,25.6,17.4,60.9,0.0,0.0,0.0,6.6,0.0,0.0,0.0,.144,2.8,1.3,4.0,0.0,
Cole Swider,25,DET,SF,2,0,13,-11.4,.000,1.000,.000,0.0,16.8,8.5,9.1,0.0,0.0,0.0,16.4,-0.1,0.0,-0.1,-0.335,-14.7,-6.3,-20.9,-0.1,
Jared Rhoden,25,CHO,SG,4,0,12,5.6,.250,.250,.000,17.5,19.1,18.2,26.4,4.1,0.0,11.1,31.7,-0.1,0.0,-0.1,-0.206,-6.9,-1.8,-8.7,0.0,
Keshad Johnson,23,MIA,SF,2,0,12,5.0,.500,.500,.000,0.0,18.1,9.1,0.0,0.0,0.0,0.0,7.3,0.0,0.0,0.0,.028,-5.2,-1.3,-6.5,0.0,
AJ Johnson,20,MIL,SG,5,0,11,10.1,.583,.167,.000,0.0,19.3,10.0,15.8,0.0,0.0,25.0,32.1,0.0,0.0,0.0,-0.134,-5.3,-5.1,-10.4,0.0,
PJ Hall,22,DEN,C,5,0,11,2.4,.400,.400,.000,0.0,9.6,5.0,0.0,0.0,0.0,0.0,19.1,0.0,0.0,0.0,-0.088,-10.6,-6.5,-17.1,0.0,
Mouhamed Gueye,22,ATL,PF,2,0,11,-5.7,.250,.500,.000,0.0,19.7,9.7,0.0,0.0,0.0,20.0,18.4,-0.1,0.0,-0.1,-0.267,-11.1,-4.6,-15.7,0.0,
Dominick Barlow,21,ATL,SF,2,0,11,-2.7,.266,.000,2.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,0.0,0.0,0.0,-0.080,-8.8,-3.4,-12.2,0.0,
Jalen Bridges,23,PHO,SF,2,0,11,-13.0,.174,1.000,1.000,0.0,9.9,5.1,0.0,0.0,0.0,41.0,19.6,-0.1,0.0,-0.1,-0.438,-16.6,-6.8,-23.4,-0.1,
Jeenathan Williams,25,HOU,SG,3,0,10,31.6,.875,.500,.000,0.0,31.8,15.7,0.0,4.8,0.0,0.0,16.5,0.0,0.0,0.1,.349,5.6,7.4,12.9,0.0,
James Johnson,37,IND,PF,3,0,10,4.2,.500,.250,.000,0.0,22.7,11.5,29.5,0.0,9.3,42.9,30.4,-0.1,0.0,-0.1,-0.287,-6.9,1.1,-5.8,0.0,
Cui Yongxi,21,BRK,SG,5,0,10,-10.9,.190,.429,.286,0.0,24.5,11.9,0.0,0.0,0.0,0.0,35.0,-0.1,0.0,-0.1,-0.512,-16.6,-8.5,-25.1,-0.1,
Justin Edwards,21,PHI,SF,2,0,9,16.7,.581,.333,.333,0.0,27.3,12.9,19.8,0.0,0.0,0.0,16.8,0.0,0.0,0.0,.119,2.0,-0.4,1.6,0.0,
David Duke Jr.,25,SAS,SG,1,0,8,3.0,.307,.250,.500,0.0,0.0,0.0,35.4,0.0,0.0,0.0,26.1,0.0,0.0,0.0,-0.117,-6.7,-5.0,-11.8,0.0,
Tristen Newton,23,IND,SG,5,0,8,-15.3,.233,.500,.167,0.0,0.0,0.0,16.6,0.0,0.0,13.4,40.4,-0.1,0.0,-0.1,-0.569,-22.0,-11.5,-33.6,-0.1,
Quincy Olivari,23,LAL,PG,1,0,8,-0.9,.500,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,25.0,21.8,0.0,0.0,0.0,-0.205,-7.9,-7.4,-15.4,0.0,
Reece Beekman,23,2TM,PG,3,0,8,15.0,1.000,.000,.000,12.6,0.0,6.5,20.5,6.0,0.0,50.0,10.7,0.0,0.0,0.0,.112,-2.8,5.0,2.2,0.0,
Reece Beekman,23,GSW,PG,2,0,4,42.6,1.000,.000,.000,25.1,0.0,12.9,40.9,12.0,0.0,0.0,10.4,0.0,0.0,0.0,.596,9.9,15.6,25.5,0.0,
Reece Beekman,23,BRK,PG,1,0,4,-12.6,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,11.1,0.0,0.0,0.0,-0.373,-15.4,-5.7,-21.1,0.0,
Trevelin Queen,27,ORL,SG,3,0,7,-5.3,.500,.333,.000,0.0,0.0,0.0,0.0,0.0,0.0,25.0,24.8,0.0,0.0,0.0,-0.176,-12.2,-4.1,-16.3,0.0,
Alex Ducas,24,OKC,SG,4,0,7,-15.9,.000,.667,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.3,-0.1,0.0,-0.1,-0.413,-17.4,-6.4,-23.8,0.0,
Harrison Ingram,22,SAS,SF,1,0,7,-5.7,.000,.000,.000,0.0,15.3,7.7,0.0,0.0,0.0,0.0,6.1,0.0,0.0,0.0,-0.128,-11.5,-4.1,-15.7,0.0,
Riley Minix,24,SAS,SF,1,0,7,-1.8,.000,1.000,.000,0.0,30.6,15.4,0.0,0.0,0.0,0.0,6.1,0.0,0.0,0.0,-0.106,-8.4,-3.7,-12.0,0.0,
Chris Livingston,21,MIL,SF,3,0,6,19.5,.500,.000,.000,19.0,17.7,18.3,24.4,8.1,0.0,33.3,22.1,0.0,0.0,0.0,.062,-0.2,4.3,4.1,0.0,
Justin Minaya,25,POR,SF,1,0,6,-0.5,,,,0.0,19.0,9.1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,.006,-11.2,-2.0,-13.2,0.0,
James Wiseman,23,IND,C,1,0,5,32.1,.615,.250,.500,0.0,22.7,11.5,0.0,0.0,0.0,0.0,42.4,0.0,0.0,0.0,.232,5.8,-5.3,0.5,0.0,
Ulrich Chomche,19,TOR,PF,1,0,5,16.6,1.000,.000,.000,0.0,22.1,10.9,0.0,0.0,0.0,0.0,8.3,0.0,0.0,0.0,.149,2.7,-1.1,1.6,0.0,
Isaiah Crawford,23,SAC,SF,1,0,5,-0.6,,,,0.0,22.2,11.3,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,.031,-10.2,-0.8,-11.0,0.0,
Daniss Jenkins,23,DET,PG,2,0,5,-18.0,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.1,0.0,0.0,0.0,-0.406,-21.2,-7.5,-28.7,0.0,
Mac McClung,26,ORL,SG,1,0,5,14.7,,,,0.0,24.3,11.6,50.0,0.0,0.0,,0.0,0.0,0.0,0.0,.223,2.4,4.0,6.4,0.0,
Alondes Williams,25,DET,SG,1,0,4,55.3,1.250,.500,.000,0.0,0.0,0.0,73.3,0.0,0.0,0.0,21.4,0.0,0.0,0.0,.552,37.9,6.0,43.8,0.0,
Spencer Jones,23,DEN,SF,2,0,4,18.1,.000,1.000,.000,0.0,26.3,13.7,0.0,23.7,0.0,0.0,10.5,0.0,0.0,0.0,.082,-8.1,18.8,10.7,0.0,
Collin Gillespie,25,PHO,PG,1,0,3,26.9,.750,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.4,0.0,0.0,0.0,.138,11.4,0.1,11.5,0.0,
Jaylen Martin,21,BRK,SF,2,0,3,34.6,1.500,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.8,0.0,0.0,0.0,.195,17.5,4.8,22.3,0.0,
Bryce McGowens,22,POR,SG,1,0,3,22.1,.500,.500,.000,0.0,0.0,0.0,68.4,0.0,0.0,0.0,27.7,0.0,0.0,0.0,.147,8.8,0.4,9.2,0.0,
Alex Reese,25,OKC,PF,1,0,2,55.0,1.000,.000,.000,53.2,0.0,26.4,0.0,0.0,0.0,0.0,21.4,0.0,0.0,0.0,.604,22.8,-4.0,18.8,0.0,
League Average,,,,,,,,.574,.424,.250,4.9,15.1,10.0,16.3,1.7,2.0,12.5,19.9,,,,,,,,,
